,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta
132,0.4474,1.0,6.576,0.041,0.9984,316.2028,BIC,TwoStageBetween,132-TwoStageBetween,,
133,,,9.0755,0.015,1.0112,325.59,BIC,TwoStageWithin,132-TwoStageBetween,1.2634,1.0
134,0.4893,1.0,6.2488,-0.0496,1.0035,330.1511,BIC,TwoStageBetween,132-TwoStageWithin,,
135,,,12.9336,-0.0097,0.982,314.599,BIC,TwoStageWithin,132-TwoStageWithin,1.0133,0.4458
136,0.6355,1.0,17.9474,0.0004,1.4634,88.9968,BIC,TwoStageBetween,133-TwoStageBetween,,
137,,,15.8011,0.0287,1.4945,104.6536,BIC,TwoStageWithin,133-TwoStageBetween,0.5031,1.0
138,0.6701,1.0,15.7257,0.0383,1.5104,78.8849,BIC,TwoStageBetween,133-TwoStageWithin,,
139,,,26.6781,0.0026,1.5006,74.2471,BIC,TwoStageWithin,133-TwoStageWithin,0.4754,0.3568
140,0.5431,0.141,19.8654,-0.0166,1.1362,248.0801,BIC,TwoStageBetween,134-TwoStageBetween,,
141,,,10.5462,0.0128,1.1651,267.5753,BIC,TwoStageWithin,134-TwoStageBetween,0.7114,1.0
142,0.5878,0.5973,10.5062,-0.0092,1.1039,272.0019,BIC,TwoStageBetween,134-TwoStageWithin,,
143,,,15.0123,0.0021,1.0688,249.0299,BIC,TwoStageWithin,134-TwoStageWithin,0.6732,0.543
144,0.2777,0.622,3.4923,0.0273,1.0927,363.7067,BIC,TwoStageBetween,135-TwoStageBetween,,
145,,,7.475,0.0258,1.1,369.5657,BIC,TwoStageWithin,135-TwoStageBetween,1.4363,0.2212
146,0.2374,0.0,7.8719,-0.0147,1.1564,307.2133,BIC,TwoStageBetween,135-TwoStageWithin,,
147,,,9.1156,0.0522,1.1462,299.993,BIC,TwoStageWithin,135-TwoStageWithin,2.1989,1.0
148,0.7093,0.2213,15.4305,-0.0077,1.078,208.772,BIC,TwoStageBetween,136-TwoStageBetween,,
149,,,10.2113,-0.002,1.0842,212.4769,BIC,TwoStageWithin,136-TwoStageBetween,0.3743,0.9409
150,0.711,0.7042,8.8804,0.0232,1.1999,236.2475,BIC,TwoStageBetween,136-TwoStageWithin,,
151,,,10.0502,-0.012,1.1784,222.7039,BIC,TwoStageWithin,136-TwoStageWithin,0.4066,1.0
152,0.1374,1.0,10.2402,0.0491,1.3415,76.1588,BIC,TwoStageBetween,137-TwoStageBetween,,
153,,,21.7725,-0.0073,1.4506,135.0633,BIC,TwoStageWithin,137-TwoStageBetween,2.1634,1.0
154,0.0,0.0,7.0364,0.0288,1.5398,136.4767,BIC,TwoStageBetween,137-TwoStageWithin,,
155,,,30.0,-0.0032,1.4771,105.7895,BIC,TwoStageWithin,137-TwoStageWithin,4.8052,0.9063
156,0.0,1.0,3.5667,0.0264,0.6145,230.3195,BIC,TwoStageBetween,138-TwoStageBetween,,
157,,,10.4623,0.0019,0.7791,333.7284,BIC,TwoStageWithin,138-TwoStageBetween,2.4156,1.0
158,0.2962,0.5744,4.3992,-0.0099,0.8693,413.1755,BIC,TwoStageBetween,138-TwoStageWithin,,
159,,,11.3059,-0.0024,0.8451,391.8545,BIC,TwoStageWithin,138-TwoStageWithin,2.3178,0.6855
160,0.5167,1.0,5.9792,-0.0392,0.8378,392.5319,BIC,TwoStageBetween,139-TwoStageBetween,,
161,,,6.3562,0.025,0.8598,411.1072,BIC,TwoStageWithin,139-TwoStageBetween,0.9061,0.8818
162,0.5523,0.6102,5.4559,0.0022,0.8788,406.7336,BIC,TwoStageBetween,139-TwoStageWithin,,
163,,,6.0227,-0.0021,0.8704,399.6015,BIC,TwoStageWithin,139-TwoStageWithin,0.7602,0.8921
164,0.5621,0.4842,19.5722,0.0325,1.1995,188.1712,BIC,TwoStageBetween,14-TwoStageBetween,,
165,,,14.5587,-0.0174,1.2448,216.9606,BIC,TwoStageWithin,14-TwoStageBetween,0.7223,1.0
166,0.5842,1.0,12.7284,0.0173,1.1252,215.86,BIC,TwoStageBetween,14-TwoStageWithin,,
167,,,16.8502,-0.0081,1.1009,200.8762,BIC,TwoStageWithin,14-TwoStageWithin,0.7045,0.9965
168,0.8054,0.8304,10.0583,0.0077,1.0188,143.3303,BIC,TwoStageBetween,140-TwoStageBetween,,
169,,,9.7003,-0.0079,1.0566,163.3031,BIC,TwoStageWithin,140-TwoStageBetween,0.237,1.0
170,0.7381,0.5794,11.7701,0.0127,1.1653,193.3581,BIC,TwoStageBetween,140-TwoStageWithin,,
171,,,11.3548,0.0349,1.1416,179.4372,BIC,TwoStageWithin,140-TwoStageWithin,0.3504,1.0
172,0.6584,0.7256,14.8842,-0.0523,1.4607,127.6968,BIC,TwoStageBetween,141-TwoStageBetween,,
173,,,12.7294,-0.0203,1.4789,137.3486,BIC,TwoStageWithin,141-TwoStageBetween,0.45,1.0
