,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta
479,,,9.0307,-0.0188,0.8902,338.1336,BIC,TwoStageWithin,42-TwoStageWithin,0.6173,1.0
480,0.7049,1.0,12.547,-0.0037,1.1634,140.9673,BIC,TwoStageBetween,43-TwoStageBetween,,
481,,,16.0182,0.0155,1.1502,134.0243,BIC,TwoStageWithin,43-TwoStageBetween,0.3374,0.6058
482,0.6904,1.0,10.3876,0.0038,1.3179,172.3796,BIC,TwoStageBetween,43-TwoStageWithin,,
483,,,13.3495,-0.0023,1.3037,164.2088,BIC,TwoStageWithin,43-TwoStageWithin,0.4181,0.8477
484,0.8124,1.0,7.2009,0.0519,1.1821,195.9561,BIC,TwoStageBetween,44-TwoStageBetween,,
485,,,8.5138,-0.0278,1.1951,204.0296,BIC,TwoStageWithin,44-TwoStageBetween,0.2433,1.0
486,0.8297,1.0,6.2688,0.0018,1.2571,214.6106,BIC,TwoStageBetween,44-TwoStageWithin,,
487,,,6.7219,0.0712,1.2545,212.9135,BIC,TwoStageWithin,44-TwoStageWithin,0.1576,0.8647
488,0.1286,1.0,5.9547,-0.0173,0.9642,202.5401,BIC,TwoStageBetween,45-TwoStageBetween,,
489,,,19.0089,0.0167,1.0362,248.7626,BIC,TwoStageWithin,45-TwoStageBetween,2.4513,0.5277
490,0.2471,0.4691,6.5698,-0.0161,1.1555,270.0049,BIC,TwoStageBetween,45-TwoStageWithin,,
491,,,15.0163,0.0129,1.1092,241.0195,BIC,TwoStageWithin,45-TwoStageWithin,2.5375,1.0
492,0.5894,0.6144,16.6592,-0.0226,1.2855,211.1862,BIC,TwoStageBetween,46-TwoStageBetween,,
493,,,11.2847,0.0237,1.3138,229.9946,BIC,TwoStageWithin,46-TwoStageBetween,0.6017,1.0
494,0.5594,0.0758,21.9247,-0.0217,1.3218,173.5402,BIC,TwoStageBetween,46-TwoStageWithin,,
495,,,15.9981,0.0338,1.3054,164.1401,BIC,TwoStageWithin,46-TwoStageWithin,0.7673,0.8526
496,0.9886,1.0,9.6418,0.0076,0.9132,-23.2628,BIC,TwoStageBetween,47-TwoStageBetween,,
497,,,10.3687,0.002,0.9547,-6.314,BIC,TwoStageWithin,47-TwoStageBetween,0.0131,1.0
498,1.0,1.0,8.1858,0.0028,1.0263,49.9457,BIC,TwoStageBetween,47-TwoStageWithin,,
499,,,10.8256,0.0344,0.9166,-0.2905,BIC,TwoStageWithin,47-TwoStageWithin,0.0051,0.9302
500,0.3777,1.0,10.3622,0.0257,1.1411,209.7453,BIC,TwoStageBetween,48-TwoStageBetween,,
501,,,15.5117,0.0113,1.1779,232.6341,BIC,TwoStageWithin,48-TwoStageBetween,1.5088,0.8489
502,0.4488,1.0,7.2049,-0.0224,1.1869,297.7347,BIC,TwoStageBetween,48-TwoStageWithin,,
503,,,12.4132,0.0104,1.1692,284.9384,BIC,TwoStageWithin,48-TwoStageWithin,1.307,0.9621
504,0.8213,0.712,8.7684,-0.0141,0.7429,162.9419,BIC,TwoStageBetween,49-TwoStageBetween,,
505,,,7.8369,0.0135,0.7962,191.198,BIC,TwoStageWithin,49-TwoStageBetween,0.2111,0.954
506,0.856,0.5825,6.3446,0.0203,0.8496,277.0755,BIC,TwoStageBetween,49-TwoStageWithin,,
507,,,6.6815,0.026,0.8078,249.9776,BIC,TwoStageWithin,49-TwoStageWithin,0.1941,0.9913
508,0.2343,0.3407,8.2659,0.0243,1.027,266.1299,BIC,TwoStageBetween,5-TwoStageBetween,,
509,,,10.6545,0.0061,1.0739,297.8615,BIC,TwoStageWithin,5-TwoStageBetween,1.7208,1.0
510,0.2628,1.0,3.4933,0.0268,1.0804,339.8439,BIC,TwoStageBetween,5-TwoStageWithin,,
511,,,15.9029,0.0339,1.0325,303.5561,BIC,TwoStageWithin,5-TwoStageWithin,2.409,0.334
512,0.3036,0.5755,13.8799,0.0072,1.1034,203.4094,BIC,TwoStageBetween,50-TwoStageBetween,,
513,,,19.757,-0.0043,1.1445,231.0394,BIC,TwoStageWithin,50-TwoStageBetween,1.9156,1.0
514,0.2576,1.0,6.3799,-0.0171,1.1713,228.5702,BIC,TwoStageBetween,50-TwoStageWithin,,
515,,,17.9158,0.0225,1.129,203.3825,BIC,TwoStageWithin,50-TwoStageWithin,2.0266,1.0
516,0.4406,1.0,3.186,-0.1039,0.8979,439.6596,BIC,TwoStageBetween,51-TwoStageBetween,,
517,,,5.5765,-0.026,0.9075,448.5714,BIC,TwoStageWithin,51-TwoStageBetween,1.1867,0.516
518,0.4728,1.0,2.967,0.0439,0.9552,428.0348,BIC,TwoStageBetween,51-TwoStageWithin,,
519,,,4.9296,0.0538,0.9496,423.1118,BIC,TwoStageWithin,51-TwoStageWithin,1.1598,0.7234
520,0.9616,1.0,6.6665,0.0449,0.8934,107.144,BIC,TwoStageBetween,52-TwoStageBetween,,
521,,,6.6235,0.0678,0.9425,132.0217,BIC,TwoStageWithin,52-TwoStageBetween,0.0078,0.9306
522,1.0,1.0,5.3796,0.0295,1.0114,198.0605,BIC,TwoStageBetween,52-TwoStageWithin,,
523,,,7.7749,0.0344,0.9599,166.5084,BIC,TwoStageWithin,52-TwoStageWithin,0.0,0.7198
524,0.5683,1.0,12.1157,-0.0298,1.0594,244.3105,BIC,TwoStageBetween,53-TwoStageBetween,,
525,,,15.802,0.0083,1.0619,245.9788,BIC,TwoStageWithin,53-TwoStageBetween,0.7001,0.6459
526,0.611,0.5195,16.5855,-0.0023,1.0685,215.2001,BIC,TwoStageBetween,53-TwoStageWithin,,
527,,,18.3303,-0.0055,1.0566,207.7726,BIC,TwoStageWithin,53-TwoStageWithin,0.6597,0.6925
528,0.4968,0.4409,14.0368,0.0102,1.002,279.0926,BIC,TwoStageBetween,54-TwoStageBetween,,
529,,,14.4495,-0.0119,1.0118,285.8767,BIC,TwoStageWithin,54-TwoStageBetween,1.0355,0.7493
530,0.5127,0.7185,13.0834,-0.0082,1.0165,266.0214,BIC,TwoStageBetween,54-TwoStageWithin,,
531,,,18.4398,0.0038,1.0083,260.2868,BIC,TwoStageWithin,54-TwoStageWithin,0.9218,0.5008
532,0.4699,0.8794,11.1344,0.0133,1.0459,282.4244,BIC,TwoStageBetween,55-TwoStageBetween,,
533,,,12.0214,0.008,1.0734,302.6676,BIC,TwoStageWithin,55-TwoStageBetween,1.0557,1.0
534,0.5023,1.0,7.8441,0.0483,1.0973,280.3572,BIC,TwoStageBetween,55-TwoStageWithin,,
535,,,13.1986,0.0273,1.0938,277.9616,BIC,TwoStageWithin,55-TwoStageWithin,0.9513,0.4566
536,0.8771,1.0,7.5898,0.0171,1.1502,156.7596,BIC,TwoStageBetween,56-TwoStageBetween,,
537,,,9.2684,0.0254,1.165,165.0546,BIC,TwoStageWithin,56-TwoStageBetween,0.0926,0.5715
538,0.8992,0.6424,9.5664,0.0,1.2125,126.9132,BIC,TwoStageBetween,56-TwoStageWithin,,
539,,,10.7043,0.0693,1.1696,104.5451,BIC,TwoStageWithin,56-TwoStageWithin,0.0498,0.5422
540,0.5372,1.0,21.051,-0.0191,1.7088,36.5899,BIC,TwoStageBetween,57-TwoStageBetween,,
541,,,27.5777,-0.0341,1.7092,36.7729,BIC,TwoStageWithin,57-TwoStageBetween,0.8392,0.749
542,0.5552,1.0,16.9107,0.0179,1.6842,72.934,BIC,TwoStageBetween,57-TwoStageWithin,,
543,,,24.9158,0.0111,1.6703,66.2298,BIC,TwoStageWithin,57-TwoStageWithin,0.7722,0.6158
544,0.6501,1.0,5.2091,0.0052,1.0631,348.3027,BIC,TwoStageBetween,58-TwoStageBetween,,
545,,,4.5045,0.006,1.0725,355.7359,BIC,TwoStageWithin,58-TwoStageBetween,0.396,0.9489
546,0.6079,0.2204,13.0956,0.0034,1.024,281.9449,BIC,TwoStageBetween,58-TwoStageWithin,,
547,,,12.2638,0.0102,1.007,270.8449,BIC,TwoStageWithin,58-TwoStageWithin,0.6325,0.6303
548,0.4517,1.0,7.9624,0.0091,1.1927,273.7778,BIC,TwoStageBetween,59-TwoStageBetween,,
549,,,9.8701,-0.0196,1.2053,282.5469,BIC,TwoStageWithin,59-TwoStageBetween,1.0828,1.0
550,0.4912,0.6356,8.4068,-0.0136,1.2107,308.6454,BIC,TwoStageBetween,59-TwoStageWithin,,
551,,,11.0576,0.0009,1.1984,299.4243,BIC,TwoStageWithin,59-TwoStageWithin,1.1379,1.0
552,0.6311,0.7477,20.254,0.0222,1.4875,77.003,BIC,TwoStageBetween,6-TwoStageBetween,,
553,,,20.5539,0.0027,1.523,94.3643,BIC,TwoStageWithin,6-TwoStageBetween,0.5523,0.7133
554,0.6247,0.1335,24.9358,0.0003,1.5193,129.2643,BIC,TwoStageBetween,6-TwoStageWithin,,
555,,,18.0928,-0.0098,1.5065,122.299,BIC,TwoStageWithin,6-TwoStageWithin,0.586,1.0
556,0.612,0.4389,14.3077,0.0145,1.2738,221.8038,BIC,TwoStageBetween,60-TwoStageBetween,,
557,,,12.0436,0.0165,1.2777,224.3783,BIC,TwoStageWithin,60-TwoStageBetween,0.64,1.0
558,0.6469,0.1957,13.866,-0.0099,1.3067,212.2594,BIC,TwoStageBetween,60-TwoStageWithin,,
559,,,10.0022,-0.0213,1.2996,208.07,BIC,TwoStageWithin,60-TwoStageWithin,0.5374,1.0
560,0.5346,1.0,13.5417,-0.0073,1.2412,198.3363,BIC,TwoStageBetween,61-TwoStageBetween,,
561,,,15.4264,-0.0073,1.2593,209.425,BIC,TwoStageWithin,61-TwoStageBetween,0.869,0.933
562,0.5738,1.0,9.1498,0.0182,1.2477,241.2366,BIC,TwoStageBetween,61-TwoStageWithin,,
563,,,9.9185,0.0906,1.224,225.7585,BIC,TwoStageWithin,61-TwoStageWithin,0.6109,1.0
564,0.6429,0.4944,21.7899,0.0222,1.6667,79.3252,BIC,TwoStageBetween,62-TwoStageBetween,,
565,,,15.2826,-0.0156,1.6815,86.7885,BIC,TwoStageWithin,62-TwoStageBetween,0.4292,1.0
566,0.6467,0.3349,24.5295,0.0057,1.6885,65.2417,BIC,TwoStageBetween,62-TwoStageWithin,,
567,,,20.9903,-0.0017,1.6627,52.7585,BIC,TwoStageWithin,62-TwoStageWithin,0.5291,1.0
568,0.646,1.0,3.0598,-0.0178,0.7199,451.2721,BIC,TwoStageBetween,64-TwoStageBetween,,
569,,,4.6021,0.0017,0.7211,452.3454,BIC,TwoStageWithin,64-TwoStageBetween,0.5062,0.3088
570,0.5856,1.0,3.9177,-0.0259,0.6964,424.8549,BIC,TwoStageBetween,64-TwoStageWithin,,
571,,,6.6905,0.0339,0.6678,402.4289,BIC,TwoStageWithin,64-TwoStageWithin,0.659,0.3463
572,0.6225,0.8284,13.8183,-0.0101,1.1197,210.9136,BIC,TwoStageBetween,65-TwoStageBetween,,
573,,,14.3866,-0.001,1.1424,225.0375,BIC,TwoStageWithin,65-TwoStageBetween,0.5587,0.6768
574,0.6353,1.0,9.9411,0.0066,1.0351,242.9203,BIC,TwoStageBetween,65-TwoStageWithin,,
575,,,11.9475,0.0143,1.0015,222.6695,BIC,TwoStageWithin,65-TwoStageWithin,0.5291,1.0
576,0.5517,1.0,9.8461,-0.0511,1.1221,266.9902,BIC,TwoStageBetween,66-TwoStageBetween,,
577,,,10.6577,-0.0192,1.1334,274.7739,BIC,TwoStageWithin,66-TwoStageBetween,0.7969,1.0
578,0.5523,1.0,6.5142,-0.0193,1.1261,313.0009,BIC,TwoStageBetween,66-TwoStageWithin,,
579,,,9.9251,-0.0094,1.116,305.7151,BIC,TwoStageWithin,66-TwoStageWithin,0.8229,0.8174
580,0.778,1.0,4.3624,-0.0326,0.9482,341.4476,BIC,TwoStageBetween,67-TwoStageBetween,,
581,,,3.8497,0.0282,0.9508,343.4285,BIC,TwoStageWithin,67-TwoStageBetween,0.1583,1.0
582,0.7139,1.0,6.0639,-0.0373,0.8999,303.3734,BIC,TwoStageBetween,67-TwoStageWithin,,
583,,,6.9492,-0.0112,0.8971,301.4508,BIC,TwoStageWithin,67-TwoStageWithin,0.377,1.0
584,0.1328,0.6081,5.4028,-0.0155,1.0308,275.9858,BIC,TwoStageBetween,68-TwoStageBetween,,
585,,,13.6337,0.0117,1.0489,288.3134,BIC,TwoStageWithin,68-TwoStageBetween,2.229,0.7808
586,0.1015,1.0,2.8642,-0.0194,1.1246,302.6828,BIC,TwoStageBetween,68-TwoStageWithin,,
587,,,11.9899,0.0077,1.1063,289.9031,BIC,TwoStageWithin,68-TwoStageWithin,3.5676,0.9842
588,0.5868,1.0,7.7285,-0.0297,0.929,364.7816,BIC,TwoStageBetween,69-TwoStageBetween,,
589,,,7.1459,0.0156,0.949,381.8027,BIC,TwoStageWithin,69-TwoStageBetween,0.619,0.9855
590,0.5909,0.6444,9.789,0.0021,0.9976,276.9604,BIC,TwoStageBetween,69-TwoStageWithin,,
591,,,9.3409,0.0169,0.9824,267.5487,BIC,TwoStageWithin,69-TwoStageWithin,0.6249,0.9881
592,0.5785,0.4986,15.6686,-0.0005,1.2316,236.1684,BIC,TwoStageBetween,7-TwoStageBetween,,
593,,,11.7892,-0.0038,1.249,247.718,BIC,TwoStageWithin,7-TwoStageBetween,0.6789,1.0
594,0.532,0.9645,8.8514,0.0007,1.2154,259.1802,BIC,TwoStageBetween,7-TwoStageWithin,,
595,,,16.2328,-0.0222,1.1945,245.1262,BIC,TwoStageWithin,7-TwoStageWithin,0.879,0.5582
596,0.523,0.3201,18.2337,-0.0158,1.1773,221.0536,BIC,TwoStageBetween,70-TwoStageBetween,,
597,,,12.8488,0.007,1.2122,243.0748,BIC,TwoStageWithin,70-TwoStageBetween,0.899,0.8485
598,0.5502,0.423,13.3692,-0.0134,1.1934,287.6556,BIC,TwoStageBetween,70-TwoStageWithin,,
599,,,15.8492,0.036,1.158,262.0231,BIC,TwoStageWithin,70-TwoStageWithin,0.8642,0.7385
600,0.485,0.9591,9.2462,-0.0322,1.2792,254.5949,BIC,TwoStageBetween,71-TwoStageBetween,,
601,,,9.9815,0.0279,1.2905,262.4957,BIC,TwoStageWithin,71-TwoStageBetween,1.0397,1.0
602,0.5079,1.0,13.4917,-0.0188,1.2107,185.6098,BIC,TwoStageBetween,71-TwoStageWithin,,
603,,,20.0339,-0.0047,1.1961,177.299,BIC,TwoStageWithin,71-TwoStageWithin,0.9904,0.8103
604,0.8044,1.0,5.3955,-0.0239,1.0681,279.9286,BIC,TwoStageBetween,72-TwoStageBetween,,
605,,,5.0337,0.0203,1.0754,285.0056,BIC,TwoStageWithin,72-TwoStageBetween,0.1571,1.0
606,0.7941,1.0,6.0208,0.004,1.0173,265.2833,BIC,TwoStageBetween,72-TwoStageWithin,,
607,,,7.0944,0.0256,0.9999,253.8235,BIC,TwoStageWithin,72-TwoStageWithin,0.2554,1.0
608,0.6164,0.6214,11.3806,0.0254,0.959,284.0689,BIC,TwoStageBetween,73-TwoStageBetween,,
609,,,9.2408,0.0246,0.9822,300.2184,BIC,TwoStageWithin,73-TwoStageBetween,0.544,0.9311
610,0.6614,1.0,8.5303,-0.0013,0.9563,280.7477,BIC,TwoStageBetween,73-TwoStageWithin,,
611,,,11.1978,-0.0089,0.94,269.6366,BIC,TwoStageWithin,73-TwoStageWithin,0.4464,0.7077
612,0.8611,0.311,4.2099,0.072,1.0552,309.4418,BIC,TwoStageBetween,74-TwoStageBetween,,
613,,,4.2928,-0.0337,1.0581,311.5526,BIC,TwoStageWithin,74-TwoStageBetween,0.2423,0.7342
614,0.6922,0.4438,4.9015,-0.0153,1.066,326.0693,BIC,TwoStageBetween,74-TwoStageWithin,,
615,,,5.0595,0.0152,1.0532,317.0321,BIC,TwoStageWithin,74-TwoStageWithin,0.5151,1.0
616,0.8292,0.8248,8.3797,0.0304,1.2186,173.7852,BIC,TwoStageBetween,75-TwoStageBetween,,
617,,,10.6831,0.0224,1.2266,178.5741,BIC,TwoStageWithin,75-TwoStageBetween,0.2006,0.4986
618,0.8593,1.0,8.8337,-0.003,1.2707,105.0946,BIC,TwoStageBetween,75-TwoStageWithin,,
619,,,10.1585,0.024,1.2461,93.1198,BIC,TwoStageWithin,75-TwoStageWithin,0.1519,1.0
620,0.6535,1.0,11.6656,-0.0598,1.2759,187.1616,BIC,TwoStageBetween,76-TwoStageBetween,,
621,,,10.7106,0.0127,1.3106,208.0766,BIC,TwoStageWithin,76-TwoStageBetween,0.5193,1.0
622,0.6163,1.0,9.568,-0.0123,1.206,239.2295,BIC,TwoStageBetween,76-TwoStageWithin,,
623,,,12.542,0.0286,1.1877,227.54,BIC,TwoStageWithin,76-TwoStageWithin,0.5842,0.8345
624,0.7675,0.6129,5.1003,0.0051,0.6038,349.0885,BIC,TwoStageBetween,77-TwoStageBetween,,
625,,,4.3189,0.0057,0.6343,369.5281,BIC,TwoStageWithin,77-TwoStageBetween,0.2952,1.0
626,0.8334,0.8027,3.6235,0.0471,0.6893,377.3095,BIC,TwoStageBetween,77-TwoStageWithin,,
627,,,4.44,0.0087,0.6815,371.4249,BIC,TwoStageWithin,77-TwoStageWithin,0.2229,0.8224
628,0.5077,0.4419,13.3155,-0.0038,1.0157,323.9386,BIC,TwoStageBetween,78-TwoStageBetween,,
629,,,10.4545,0.0169,1.0341,338.1047,BIC,TwoStageWithin,78-TwoStageBetween,0.9785,1.0
630,0.5124,1.0,8.8915,-0.0047,1.033,307.462,BIC,TwoStageBetween,78-TwoStageWithin,,
631,,,11.716,0.0253,1.0179,296.4837,BIC,TwoStageWithin,78-TwoStageWithin,0.9256,0.9961
632,0.7928,1.0,8.6135,-0.0017,1.1474,183.2316,BIC,TwoStageBetween,79-TwoStageBetween,,
633,,,8.9079,0.0279,1.1765,200.8813,BIC,TwoStageWithin,79-TwoStageBetween,0.2375,0.8756
634,0.8046,0.2868,11.5447,0.0306,1.1452,183.3396,BIC,TwoStageBetween,79-TwoStageWithin,,
635,,,9.3281,0.056,1.1186,168.7208,BIC,TwoStageWithin,79-TwoStageWithin,0.2517,1.0
636,0.6537,1.0,7.8944,-0.04,0.9644,299.6102,BIC,TwoStageBetween,8-TwoStageBetween,,
637,,,8.4175,-0.0017,0.9748,307.0512,BIC,TwoStageWithin,8-TwoStageBetween,0.4935,1.0
638,0.6586,0.9111,8.9575,-0.0081,0.9441,275.8375,BIC,TwoStageBetween,8-TwoStageWithin,,
639,,,12.0779,-0.0094,0.9098,252.9392,BIC,TwoStageWithin,8-TwoStageWithin,0.4849,0.8021
640,0.4874,1.0,5.6007,-0.006,0.7974,380.2541,BIC,TwoStageBetween,80-TwoStageBetween,,
641,,,6.6648,0.0114,0.8063,387.1096,BIC,TwoStageWithin,80-TwoStageBetween,0.964,1.0
642,0.5278,0.7071,5.1123,0.0022,0.7624,449.4343,BIC,TwoStageBetween,80-TwoStageWithin,,
643,,,5.9695,0.0041,0.7522,440.5252,BIC,TwoStageWithin,80-TwoStageWithin,0.9064,1.0
644,0.5334,0.8788,18.3948,0.0283,1.7433,47.0982,BIC,TwoStageBetween,81-TwoStageBetween,,
645,,,25.704,-0.0296,1.7474,49.0015,BIC,TwoStageWithin,81-TwoStageBetween,0.8085,0.6263
646,0.6039,1.0,16.249,-0.0063,1.7039,70.8384,BIC,TwoStageBetween,81-TwoStageWithin,,
647,,,26.4884,0.0241,1.6831,60.7853,BIC,TwoStageWithin,81-TwoStageWithin,0.6579,0.5447
648,0.6652,0.9405,10.168,-0.0401,1.1311,250.3408,BIC,TwoStageBetween,83-TwoStageBetween,,
649,,,8.6871,0.0225,1.152,264.756,BIC,TwoStageWithin,83-TwoStageBetween,0.4279,1.0
650,0.6251,1.0,15.0931,-0.009,1.1788,154.126,BIC,TwoStageBetween,83-TwoStageWithin,,
651,,,16.4284,-0.0033,1.1663,147.3309,BIC,TwoStageWithin,83-TwoStageWithin,0.5377,1.0
652,0.5624,0.2479,13.91,0.0311,1.1038,254.1608,BIC,TwoStageBetween,84-TwoStageBetween,,
653,,,10.1386,-0.0021,1.131,271.8865,BIC,TwoStageWithin,84-TwoStageBetween,0.7525,0.9966
654,0.5359,0.8783,10.3253,0.0221,1.0718,268.8046,BIC,TwoStageBetween,84-TwoStageWithin,,
655,,,15.0346,-0.0145,1.0597,260.6881,BIC,TwoStageWithin,84-TwoStageWithin,0.8634,0.7468
656,0.9366,0.7461,5.1143,-0.0134,0.7241,247.7575,BIC,TwoStageBetween,85-TwoStageBetween,,
657,,,5.4103,-0.0292,0.7051,235.6371,BIC,TwoStageWithin,85-TwoStageBetween,0.0828,1.0
658,1.0,0.0,7.8633,0.0139,0.7943,263.4535,BIC,TwoStageBetween,85-TwoStageWithin,,
659,,,5.0369,-0.0332,0.7835,256.3086,BIC,TwoStageWithin,85-TwoStageWithin,0.027,0.8943
660,1.0,1.0,5.8943,0.0371,0.8396,137.189,BIC,TwoStageBetween,86-TwoStageBetween,,
661,,,6.8265,-0.0004,0.883,160.7496,BIC,TwoStageWithin,86-TwoStageBetween,0.0214,0.8767
662,0.9493,0.0,11.5365,-0.0054,0.9366,163.4286,BIC,TwoStageBetween,86-TwoStageWithin,,
663,,,7.2212,-0.0348,0.9319,160.9751,BIC,TwoStageWithin,86-TwoStageWithin,0.1063,1.0
664,0.6536,0.0,25.1356,-0.0379,1.454,110.1263,BIC,TwoStageBetween,87-TwoStageBetween,,
665,,,10.1144,0.0494,1.4992,133.1638,BIC,TwoStageWithin,87-TwoStageBetween,0.4484,1.0
666,0.6924,0.3448,20.0884,0.005,1.3206,114.6824,BIC,TwoStageBetween,87-TwoStageWithin,,
667,,,14.7518,0.068,1.2789,93.4634,BIC,TwoStageWithin,87-TwoStageWithin,0.3736,0.9798
668,0.5902,1.0,16.2161,-0.0053,1.1771,141.2667,BIC,TwoStageBetween,88-TwoStageBetween,,
669,,,16.8346,-0.0012,1.1924,149.5231,BIC,TwoStageWithin,88-TwoStageBetween,0.6328,1.0
670,0.5959,0.7375,16.5536,0.0009,1.1401,154.2037,BIC,TwoStageBetween,88-TwoStageWithin,,
671,,,18.8699,0.0141,1.0798,123.322,BIC,TwoStageWithin,88-TwoStageWithin,0.6536,1.0
672,0.4303,0.2928,6.8853,0.023,0.9391,400.8608,BIC,TwoStageBetween,89-TwoStageBetween,,
673,,,6.2742,0.0334,0.9427,404.072,BIC,TwoStageWithin,89-TwoStageBetween,1.4344,1.0
674,0.4049,1.0,3.7966,0.0327,1.0557,391.3493,BIC,TwoStageBetween,89-TwoStageWithin,,
675,,,6.7289,0.0246,1.043,380.6162,BIC,TwoStageWithin,89-TwoStageWithin,1.309,1.0
676,0.6996,1.0,7.9227,0.0154,0.842,262.6622,BIC,TwoStageBetween,90-TwoStageBetween,,
677,,,9.0292,0.0094,0.8662,279.0306,BIC,TwoStageWithin,90-TwoStageBetween,0.3844,0.7542
678,0.7276,1.0,5.9615,-0.0428,0.9169,356.2769,BIC,TwoStageBetween,90-TwoStageWithin,,
679,,,7.7635,-0.0094,0.9056,346.992,BIC,TwoStageWithin,90-TwoStageWithin,0.3414,0.7694
680,0.6491,0.0,12.3867,-0.0406,1.382,247.3457,BIC,TwoStageBetween,92-TwoStageBetween,,
681,,,6.625,0.0304,1.3857,249.816,BIC,TwoStageWithin,92-TwoStageBetween,0.5119,1.0
682,0.5359,1.0,5.1448,-0.04,1.2431,286.8071,BIC,TwoStageBetween,92-TwoStageWithin,,
683,,,11.945,0.0156,1.233,279.9336,BIC,TwoStageWithin,92-TwoStageWithin,0.8778,0.1044
684,0.5807,0.7641,10.2977,0.0263,1.3795,186.8802,BIC,TwoStageBetween,93-TwoStageBetween,,
685,,,9.6311,-0.0,1.3878,191.7315,BIC,TwoStageWithin,93-TwoStageBetween,0.6776,1.0
686,0.5421,1.0,9.3618,-0.0562,1.4523,201.2698,BIC,TwoStageBetween,93-TwoStageWithin,,
687,,,11.4596,0.0457,1.4457,197.2913,BIC,TwoStageWithin,93-TwoStageWithin,0.7937,0.9258
688,0.5122,1.0,8.3827,-0.0155,0.9563,354.0697,BIC,TwoStageBetween,94-TwoStageBetween,,
689,,,10.1914,-0.0026,0.9603,357.3174,BIC,TwoStageWithin,94-TwoStageBetween,0.9398,1.0
690,0.5189,1.0,8.2794,0.0256,1.0717,307.2398,BIC,TwoStageBetween,94-TwoStageWithin,,
691,,,10.319,0.0243,1.0699,305.9055,BIC,TwoStageWithin,94-TwoStageWithin,0.8735,0.9422
692,0.4871,0.1574,14.1904,-0.0057,1.085,313.0813,BIC,TwoStageBetween,95-TwoStageBetween,,
693,,,12.0163,0.0061,1.0999,324.4399,BIC,TwoStageWithin,95-TwoStageBetween,0.9418,0.5567
694,0.5239,1.0,9.6213,-0.0072,1.069,305.0161,BIC,TwoStageBetween,95-TwoStageWithin,,
695,,,12.5147,-0.0046,1.0744,309.0228,BIC,TwoStageWithin,95-TwoStageWithin,0.8723,0.7937
696,0.6037,0.4837,10.3783,0.0023,1.0114,327.379,BIC,TwoStageBetween,96-TwoStageBetween,,
697,,,8.1208,0.0102,1.0228,336.2051,BIC,TwoStageWithin,96-TwoStageBetween,0.6314,1.0
698,0.5162,0.4904,13.5755,-0.0185,0.9669,293.1425,BIC,TwoStageBetween,96-TwoStageWithin,,
699,,,12.3861,0.0375,0.967,293.2546,BIC,TwoStageWithin,96-TwoStageWithin,0.8834,0.7493
700,0.6652,1.0,9.6642,-0.0093,1.1918,215.4878,BIC,TwoStageBetween,97-TwoStageBetween,,
701,,,11.0096,0.0113,1.2014,221.3556,BIC,TwoStageWithin,97-TwoStageBetween,0.4732,0.8436
702,0.6562,1.0,9.8289,-0.0048,1.1712,210.8935,BIC,TwoStageBetween,97-TwoStageWithin,,
703,,,12.1406,0.0267,1.1504,198.8361,BIC,TwoStageWithin,97-TwoStageWithin,0.4929,0.8961
704,0.5456,0.5531,14.2262,0.0369,1.2336,217.1901,BIC,TwoStageBetween,98-TwoStageBetween,,
705,,,14.6332,-0.0047,1.2438,223.3672,BIC,TwoStageWithin,98-TwoStageBetween,0.7713,0.8068
706,0.5712,0.7829,11.6995,-0.004,1.2944,241.7242,BIC,TwoStageBetween,98-TwoStageWithin,,
707,,,14.1288,0.014,1.2798,231.8761,BIC,TwoStageWithin,98-TwoStageWithin,0.7772,1.0
708,0.5982,0.4265,12.3275,0.0014,1.1597,250.1905,BIC,TwoStageBetween,99-TwoStageBetween,,
709,,,9.5718,0.0017,1.1677,255.3044,BIC,TwoStageWithin,99-TwoStageBetween,0.6225,1.0
710,0.617,1.0,8.5577,-0.013,1.2735,230.8737,BIC,TwoStageBetween,99-TwoStageWithin,,
711,,,12.6638,-0.008,1.2604,222.6963,BIC,TwoStageWithin,99-TwoStageWithin,0.5845,0.6488
