,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
1|subject_id[62],-2.863,0.374,-3.655,-2.197,0.007,0.005,2883.0,2883.0,2867.0,5060.0,1.0,
1|subject_id[63],0.213,0.274,-0.322,0.75,0.007,0.005,1483.0,1483.0,1480.0,3224.0,1.0,
1|subject_id[64],-0.416,0.286,-0.972,0.14,0.007,0.005,1811.0,1811.0,1811.0,3781.0,1.0,
1|subject_id[65],-1.515,0.348,-2.182,-0.813,0.008,0.006,1945.0,1945.0,1953.0,5005.0,1.0,
1|subject_id[66],1.326,0.297,0.734,1.891,0.007,0.005,1633.0,1633.0,1628.0,4402.0,1.0,
1|subject_id[67],0.32,0.26,-0.186,0.84,0.007,0.005,1424.0,1424.0,1428.0,3853.0,1.0,
1|subject_id[68],0.188,0.227,-0.262,0.62,0.007,0.005,1097.0,1097.0,1099.0,3225.0,1.0,
1|subject_id[69],1.245,0.272,0.731,1.789,0.007,0.005,1474.0,1474.0,1474.0,3003.0,1.0,
1|subject_id[70],0.193,0.247,-0.29,0.686,0.007,0.005,1245.0,1245.0,1247.0,3309.0,1.0,
1|subject_id[71],1.964,0.359,1.28,2.676,0.007,0.005,2868.0,2868.0,2879.0,5985.0,1.0,
1|subject_id[72],-1.156,0.325,-1.768,-0.5,0.007,0.005,2209.0,2209.0,2209.0,4357.0,1.0,
1|subject_id[73],1.325,0.287,0.78,1.899,0.007,0.005,1638.0,1638.0,1631.0,3713.0,1.0,
1|subject_id[74],-1.365,0.344,-2.059,-0.716,0.008,0.005,2078.0,2078.0,2078.0,5042.0,1.0,
1|subject_id[75],-0.861,0.291,-1.429,-0.294,0.007,0.005,1779.0,1779.0,1767.0,4802.0,1.0,
1|subject_id[76],0.423,0.269,-0.118,0.939,0.007,0.005,1540.0,1540.0,1540.0,3837.0,1.0,
1|subject_id[77],-0.712,0.262,-1.218,-0.194,0.007,0.005,1248.0,1248.0,1246.0,3323.0,1.0,
1|subject_id[78],2.13,0.358,1.443,2.83,0.007,0.005,2441.0,2441.0,2439.0,4910.0,1.0,
1|subject_id[79],3.347,0.569,2.217,4.45,0.008,0.006,4637.0,4488.0,4783.0,4640.0,1.0,
1|subject_id[80],1.035,0.284,0.48,1.571,0.007,0.005,1593.0,1593.0,1597.0,4478.0,1.0,
1|subject_id[81],0.03,0.288,-0.525,0.607,0.007,0.005,1636.0,1636.0,1637.0,4202.0,1.0,
1|subject_id[82],-1.237,0.25,-1.708,-0.735,0.007,0.005,1332.0,1332.0,1327.0,2736.0,1.0,
1|subject_id[83],1.474,0.331,0.831,2.119,0.007,0.005,2244.0,2244.0,2205.0,4558.0,1.0,
