,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
delta_ev_z|subject_id_sigma,1.195,0.081,1.043,1.356,0.002,0.002,1373.0,1373.0,1367.0,3008.0,1.0,1.0
delta_ev_z|subject_id[0],-0.838,0.304,-1.43,-0.253,0.005,0.003,4304.0,4304.0,4348.0,4973.0,1.0,
delta_ev_z|subject_id[1],-0.268,0.39,-1.038,0.484,0.006,0.004,4485.0,3946.0,4501.0,5146.0,1.0,
delta_ev_z|subject_id[2],-0.259,0.382,-0.997,0.495,0.006,0.005,3872.0,3555.0,3884.0,4785.0,1.0,
delta_ev_z|subject_id[3],-0.173,0.396,-0.904,0.641,0.006,0.005,4307.0,3323.0,4370.0,4469.0,1.0,
delta_ev_z|subject_id[4],-1.006,0.288,-1.559,-0.447,0.005,0.003,3455.0,3455.0,3456.0,5256.0,1.0,
delta_ev_z|subject_id[5],-0.527,0.37,-1.204,0.246,0.006,0.004,4443.0,4443.0,4503.0,5164.0,1.0,
delta_ev_z|subject_id[6],0.559,0.507,-0.408,1.579,0.008,0.006,4188.0,3312.0,4352.0,4250.0,1.0,
delta_ev_z|subject_id[7],-0.09,0.408,-0.873,0.697,0.006,0.005,4319.0,3725.0,4522.0,5244.0,1.0,
delta_ev_z|subject_id[8],0.075,0.442,-0.737,0.975,0.006,0.005,5896.0,3661.0,5917.0,4948.0,1.0,
delta_ev_z|subject_id[9],-0.345,0.374,-1.048,0.393,0.006,0.004,4030.0,4030.0,4108.0,4319.0,1.0,
delta_ev_z|subject_id[10],0.041,0.435,-0.816,0.876,0.006,0.005,4874.0,4069.0,4881.0,5360.0,1.0,
delta_ev_z|subject_id[11],-0.675,0.323,-1.314,-0.055,0.005,0.004,3776.0,3776.0,3832.0,4946.0,1.0,
delta_ev_z|subject_id[12],-1.417,0.246,-1.884,-0.925,0.004,0.003,3176.0,3176.0,3181.0,5057.0,1.0,
delta_ev_z|subject_id[13],1.176,0.553,0.097,2.259,0.007,0.005,5896.0,5229.0,5973.0,4960.0,1.0,
delta_ev_z|subject_id[14],0.1,0.437,-0.721,0.959,0.006,0.005,5333.0,3594.0,5438.0,5003.0,1.0,
delta_ev_z|subject_id[15],-0.907,0.299,-1.479,-0.309,0.005,0.004,3205.0,3082.0,3198.0,4518.0,1.0,
delta_ev_z|subject_id[16],1.726,0.62,0.524,2.93,0.008,0.006,5675.0,5551.0,5672.0,5167.0,1.0,
delta_ev_z|subject_id[17],2.256,0.68,0.994,3.628,0.01,0.007,4908.0,4660.0,4967.0,5302.0,1.0,
delta_ev_z|subject_id[18],0.611,0.52,-0.372,1.646,0.007,0.006,4861.0,4206.0,4929.0,4967.0,1.0,
delta_ev_z|subject_id[19],1.754,0.629,0.508,2.965,0.008,0.006,5968.0,5603.0,6033.0,5588.0,1.0,
delta_ev_z|subject_id[20],-0.993,0.291,-1.538,-0.397,0.005,0.004,3316.0,3316.0,3314.0,4693.0,1.0,
delta_ev_z|subject_id[21],0.059,0.447,-0.789,0.948,0.006,0.006,5059.0,2718.0,5306.0,4259.0,1.0,
delta_ev_z|subject_id[22],1.67,0.625,0.522,2.967,0.01,0.007,3918.0,3862.0,3991.0,4545.0,1.0,
delta_ev_z|subject_id[23],-0.782,0.392,-1.506,0.033,0.007,0.005,3395.0,3395.0,3382.0,4162.0,1.0,
delta_ev_z|subject_id[24],1.321,0.584,0.242,2.524,0.008,0.006,5275.0,4728.0,5363.0,5585.0,1.0,
delta_ev_z|subject_id[25],1.335,0.567,0.221,2.416,0.008,0.006,4790.0,4467.0,4801.0,4421.0,1.0,
delta_ev_z|subject_id[26],-0.794,0.31,-1.396,-0.176,0.005,0.003,4100.0,3980.0,4100.0,4539.0,1.0,
delta_ev_z|subject_id[27],0.214,0.455,-0.657,1.095,0.006,0.005,5706.0,3977.0,5967.0,5343.0,1.0,
delta_ev_z|subject_id[28],-1.555,0.247,-2.06,-1.077,0.004,0.003,3139.0,3082.0,3133.0,4105.0,1.0,
delta_ev_z|subject_id[29],-0.106,0.405,-0.9,0.674,0.007,0.005,3613.0,3613.0,3597.0,5757.0,1.0,
delta_ev_z|subject_id[30],-1.283,0.262,-1.823,-0.792,0.005,0.003,2994.0,2994.0,3009.0,4616.0,1.0,
delta_ev_z|subject_id[31],-1.174,0.272,-1.705,-0.644,0.005,0.003,3235.0,3161.0,3220.0,4560.0,1.0,
delta_ev_z|subject_id[32],-1.148,0.204,-1.542,-0.747,0.004,0.003,2236.0,2166.0,2232.0,3729.0,1.0,
delta_ev_z|subject_id[33],0.537,0.496,-0.424,1.513,0.008,0.006,4155.0,3209.0,4266.0,3688.0,1.0,
delta_ev_z|subject_id[34],0.462,0.48,-0.425,1.431,0.007,0.005,4761.0,4340.0,4803.0,4908.0,1.0,
delta_ev_z|subject_id[35],1.702,0.626,0.51,2.964,0.009,0.006,5346.0,4985.0,5399.0,4983.0,1.0,
delta_ev_z|subject_id[36],-1.942,0.22,-2.358,-1.505,0.004,0.003,2425.0,2425.0,2416.0,3942.0,1.0,
