,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
by_attribute_fx|subject_id[6],0.011,0.133,-0.3,0.281,0.003,0.003,2116.0,1382.0,2266.0,1592.0,1.0
by_attribute_fx|subject_id[7],0.04,0.14,-0.216,0.357,0.003,0.002,2329.0,2017.0,2652.0,1517.0,1.0
by_attribute_fx|subject_id[8],0.02,0.145,-0.257,0.371,0.003,0.003,2097.0,1150.0,2208.0,1457.0,1.0
by_attribute_fx|subject_id[9],0.019,0.139,-0.245,0.355,0.003,0.002,2093.0,1660.0,2207.0,1606.0,1.0
by_attribute_fx|subject_id[10],-0.031,0.156,-0.392,0.254,0.003,0.003,2220.0,1620.0,2459.0,1485.0,1.0
by_attribute_fx|subject_id[11],-0.067,0.16,-0.43,0.195,0.004,0.003,2014.0,1743.0,2254.0,1780.0,1.0
by_attribute_fx|subject_id[12],-0.004,0.142,-0.32,0.326,0.003,0.003,1990.0,1172.0,2190.0,1295.0,1.0
by_attribute_fx|subject_id[13],-0.005,0.133,-0.313,0.266,0.003,0.003,2336.0,1276.0,2575.0,1601.0,1.0
by_attribute_fx|subject_id[14],0.025,0.151,-0.276,0.358,0.003,0.003,2088.0,1260.0,2443.0,1390.0,1.0
by_attribute_fx|subject_id[15],0.021,0.137,-0.291,0.306,0.003,0.002,2133.0,1531.0,2366.0,1752.0,1.0
by_attribute_fx|subject_id[16],0.005,0.137,-0.283,0.305,0.003,0.003,1683.0,1436.0,1652.0,1637.0,1.0
by_attribute_fx|subject_id[17],-0.039,0.143,-0.382,0.218,0.003,0.003,1962.0,1355.0,2151.0,1661.0,1.0
by_attribute_fx|subject_id[18],-0.004,0.134,-0.28,0.293,0.003,0.003,2561.0,1324.0,2804.0,1757.0,1.0
by_attribute_fx|subject_id[19],-0.016,0.157,-0.357,0.299,0.003,0.003,2067.0,1405.0,2424.0,1312.0,1.0
duration_favours_fx:by_attribute_fx|subject_id_sigma,0.473,0.315,0.001,1.053,0.013,0.009,568.0,568.0,570.0,848.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[0],0.09,0.427,-0.841,0.966,0.008,0.011,2557.0,815.0,2703.0,1354.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[1],-0.087,0.451,-1.023,0.792,0.009,0.01,2335.0,1042.0,2445.0,1413.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[2],0.002,0.449,-0.959,0.938,0.009,0.01,2493.0,1104.0,2523.0,1498.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[3],-0.116,0.525,-1.139,1.029,0.01,0.011,2921.0,1102.0,2878.0,1239.0,1.01
duration_favours_fx:by_attribute_fx|subject_id[4],-0.113,0.44,-1.107,0.742,0.009,0.009,2568.0,1278.0,2584.0,1541.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[5],0.171,0.482,-0.841,1.225,0.011,0.01,2088.0,1144.0,2267.0,1336.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[6],-0.09,0.418,-1.022,0.741,0.01,0.008,1880.0,1314.0,1749.0,1502.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[7],0.357,0.493,-0.404,1.472,0.014,0.01,1185.0,1109.0,1378.0,1363.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[8],0.528,0.642,-0.399,1.964,0.02,0.015,990.0,940.0,1064.0,1123.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[9],0.137,0.421,-0.685,1.071,0.01,0.009,1900.0,1208.0,1999.0,1608.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[10],-0.055,0.477,-1.122,0.883,0.01,0.009,2218.0,1282.0,2356.0,1728.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[11],-0.29,0.489,-1.377,0.503,0.013,0.01,1442.0,1213.0,1413.0,1503.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[12],0.002,0.457,-0.984,0.957,0.009,0.011,2665.0,941.0,2811.0,1329.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[13],-0.011,0.442,-1.0,0.922,0.009,0.009,2498.0,1105.0,2626.0,1592.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[14],-0.056,0.465,-1.11,0.89,0.01,0.012,2191.0,816.0,2283.0,1110.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[15],-0.439,0.588,-1.764,0.428,0.019,0.014,931.0,931.0,938.0,1224.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[16],-0.087,0.41,-0.913,0.856,0.009,0.009,1992.0,1107.0,1943.0,1576.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[17],-0.108,0.461,-1.097,0.843,0.01,0.01,2249.0,1067.0,2501.0,1372.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[18],0.095,0.429,-0.736,0.985,0.008,0.009,2562.0,1254.0,2686.0,1622.0,1.0
duration_favours_fx:by_attribute_fx|subject_id[19],0.186,0.512,-0.732,1.345,0.012,0.01,1838.0,1236.0,2003.0,1445.0,1.0
last_stage_favours_fx:by_attribute_fx|subject_id_sigma,0.868,0.399,0.004,1.545,0.018,0.013,496.0,496.0,457.0,285.0,1.01
