,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
120,,,9.0456,-0.0242,1.1385,299.2327,BIC,TwoStageBetween,66,0.5691,0.8312
121,0.689,0.7951,10.3764,-0.0012,1.1364,298.0971,BIC,TwoStageWithin,66,,
122,,,5.8464,-0.0306,0.9343,253.6563,BIC,TwoStageBetween,67,0.7175,0.9556
123,0.3417,1.0,5.9969,-0.0045,0.929,251.3512,BIC,TwoStageWithin,67,,
124,,,6.8429,0.0205,1.0439,209.999,BIC,TwoStageBetween,68,0.0,0.0745
125,3.3273,1.0,11.3913,0.0112,1.124,249.7664,BIC,TwoStageWithin,68,,
126,,,8.6428,-0.009,0.9375,250.8308,BIC,TwoStageBetween,69,0.5992,1.0
127,0.6691,1.0,9.4718,0.0238,0.9451,255.0939,BIC,TwoStageWithin,69,,
128,,,12.0303,-0.0089,1.1893,129.4758,BIC,TwoStageBetween,70,0.5193,1.0
129,0.8626,0.9038,14.7496,0.0361,1.1713,122.7381,BIC,TwoStageWithin,70,,
130,,,12.3047,-0.0225,1.2188,129.9775,BIC,TwoStageBetween,71,0.4742,1.0
131,0.9797,0.9343,17.6922,0.0019,1.2014,122.8322,BIC,TwoStageWithin,71,,
132,,,5.4404,-0.0329,1.0622,211.0607,BIC,TwoStageBetween,72,0.8204,0.9743
133,0.2689,1.0,6.2169,0.0337,1.0688,213.8965,BIC,TwoStageWithin,72,,
134,,,8.8929,0.028,1.0069,170.9596,BIC,TwoStageBetween,73,0.6312,1.0
135,0.5304,1.0,10.401,0.0128,0.9843,161.6965,BIC,TwoStageWithin,73,,
136,,,5.4501,0.0249,1.0244,324.4196,BIC,TwoStageBetween,74,0.6892,1.0
137,0.4344,1.0,4.6675,0.0306,1.0557,345.8596,BIC,TwoStageWithin,74,,
138,,,11.4001,0.0255,1.2253,75.8375,BIC,TwoStageBetween,75,0.8035,0.6776
139,0.2391,0.9916,11.182,0.0247,1.2079,69.3777,BIC,TwoStageWithin,75,,
140,,,11.9563,-0.0329,1.2477,122.0207,BIC,TwoStageBetween,76,0.6267,1.0
141,0.5177,0.9751,12.5872,0.0257,1.235,116.8459,BIC,TwoStageWithin,76,,
142,,,3.4037,-0.0114,0.613,307.7267,BIC,TwoStageBetween,77,0.8371,0.9835
143,0.2442,1.0,3.7275,0.0265,0.6625,331.3412,BIC,TwoStageWithin,77,,
144,,,9.6249,0.009,0.9934,236.7505,BIC,TwoStageBetween,78,0.5043,1.0
145,0.9336,0.7301,14.2896,0.0109,0.9835,231.8173,BIC,TwoStageWithin,78,,
146,,,8.5867,-0.0244,1.134,81.2348,BIC,TwoStageBetween,79,0.8067,1.0
147,0.2132,1.0,8.9568,0.0452,1.1267,78.8146,BIC,TwoStageWithin,79,,
148,,,5.1225,-0.006,0.7477,341.8321,BIC,TwoStageBetween,80,0.4851,1.0
149,0.9975,1.0,6.6605,0.0171,0.7413,338.502,BIC,TwoStageWithin,80,,
150,,,20.4567,0.0077,1.8025,267.7279,BIC,TwoStageBetween,81,0.5731,1.0
151,0.6917,1.0,22.5901,0.0189,1.8025,267.7584,BIC,TwoStageWithin,81,,
152,,,12.1688,-0.0264,1.1908,85.289,BIC,TwoStageBetween,83,0.6453,1.0
153,0.5284,1.0,13.9769,0.0012,1.1722,78.9345,BIC,TwoStageWithin,83,,
154,,,12.7954,0.0437,1.107,220.9688,BIC,TwoStageBetween,84,0.536,0.4475
155,0.846,1.0,11.5068,-0.0131,1.1331,234.869,BIC,TwoStageWithin,84,,
156,,,3.7619,-0.0028,0.7592,195.8623,BIC,TwoStageBetween,85,1.0,1.0
157,0.0073,0.6921,4.9843,-0.019,0.7473,190.76,BIC,TwoStageWithin,85,,
158,,,6.4831,0.0137,0.8624,40.2313,BIC,TwoStageBetween,86,1.0,0.8418
159,0.0344,0.9742,6.7068,-0.0123,0.927,62.979,BIC,TwoStageWithin,86,,
160,,,11.6289,-0.0207,1.4561,102.3728,BIC,TwoStageBetween,87,0.6953,1.0
161,0.423,0.9884,13.2966,0.0726,1.4232,89.0136,BIC,TwoStageWithin,87,,
162,,,14.9807,-0.0051,1.1793,61.4688,BIC,TwoStageBetween,88,0.5851,1.0
163,0.6266,0.9233,17.398,-0.0045,1.1662,57.3095,BIC,TwoStageWithin,88,,
164,,,4.5497,0.0565,0.9675,335.1434,BIC,TwoStageBetween,89,0.4087,0.7058
165,1.3121,0.8211,5.0739,0.0452,0.9879,347.9166,BIC,TwoStageWithin,89,,
166,,,7.1076,-0.0032,0.8731,195.453,BIC,TwoStageBetween,90,0.7157,1.0
167,0.3804,0.8587,8.6416,0.002,0.859,189.4524,BIC,TwoStageWithin,90,,
168,,,7.6737,0.0056,1.3396,281.3504,BIC,TwoStageBetween,92,0.5635,0.7142
169,0.6877,0.417,9.2855,0.0353,1.3375,280.0437,BIC,TwoStageWithin,92,,
170,,,8.4536,0.0092,1.4563,254.7318,BIC,TwoStageBetween,93,0.5543,1.0
171,0.8937,0.7502,11.8138,0.0329,1.4537,252.9794,BIC,TwoStageWithin,93,,
172,,,8.6358,-0.0259,1.0238,202.3683,BIC,TwoStageBetween,94,0.5271,1.0
173,0.8894,1.0,10.2247,0.028,1.0215,201.4707,BIC,TwoStageWithin,94,,
174,,,15.2182,0.0066,1.0624,183.6499,BIC,TwoStageBetween,95,0.4775,0.1565
175,0.8856,1.0,11.0589,-0.0052,1.0836,192.0527,BIC,TwoStageWithin,95,,
176,,,9.1768,-0.0189,0.9928,210.4143,BIC,TwoStageBetween,96,0.5745,1.0
177,0.7449,1.0,10.7822,0.0161,0.9894,208.9513,BIC,TwoStageWithin,96,,
178,,,11.3957,-0.0225,1.2186,154.4672,BIC,TwoStageBetween,97,0.6334,0.6587
179,0.5272,1.0,11.8023,0.0322,1.1537,127.9683,BIC,TwoStageWithin,97,,
180,,,13.2957,0.0159,1.3178,188.9805,BIC,TwoStageBetween,98,0.5529,0.7759
181,0.8383,0.9181,16.6843,0.0056,1.2988,179.8947,BIC,TwoStageWithin,98,,
182,,,10.6236,0.0016,1.2226,154.8064,BIC,TwoStageBetween,99,0.5924,0.659
183,0.6605,1.0,11.261,-0.0056,1.2077,148.6585,BIC,TwoStageWithin,99,,
184,,,6.8143,-0.0064,0.9653,271.3085,BIC,TwoStageBetween,100,0.6015,1.0
185,0.6637,1.0,7.7015,0.0214,0.965,271.1244,BIC,TwoStageWithin,100,,
186,,,4.6197,0.0211,0.9829,143.9975,BIC,TwoStageBetween,101,1.0,1.0
187,0.0,1.0,5.1382,0.0372,0.9718,139.2955,BIC,TwoStageWithin,101,,
188,,,19.9641,-0.0019,1.2989,62.2457,BIC,TwoStageBetween,102,0.5689,0.4217
189,0.7635,1.0,17.3242,0.0231,1.2824,57.0089,BIC,TwoStageWithin,102,,
190,,,14.1715,-0.0032,1.0207,220.1983,BIC,TwoStageBetween,103,0.672,0.3876
191,0.4986,1.0,10.8561,0.0086,1.0532,231.9011,BIC,TwoStageWithin,103,,
192,,,15.2559,0.0006,1.8825,108.6162,BIC,TwoStageBetween,104,0.6164,0.9852
193,0.5922,1.0,19.0517,-0.0172,1.8695,101.3603,BIC,TwoStageWithin,104,,
194,,,19.5609,0.0026,1.5044,98.7851,BIC,TwoStageBetween,105,0.5319,1.0
195,0.8094,0.8652,23.9979,0.0189,1.5049,99.0169,BIC,TwoStageWithin,105,,
196,,,9.585,0.076,1.3549,122.4593,BIC,TwoStageBetween,106,0.3214,0.4432
197,2.0251,0.6493,15.7326,0.0027,1.3791,132.6698,BIC,TwoStageWithin,106,,
198,,,2.0226,0.0388,0.933,376.0307,BIC,TwoStageBetween,107,0.7911,1.0
199,0.113,1.0,1.7517,0.0575,0.9328,375.8874,BIC,TwoStageWithin,107,,
200,,,8.9974,-0.0023,1.1908,195.6207,BIC,TwoStageBetween,109,0.504,1.0
201,1.0059,0.3186,14.1873,0.0095,1.2053,202.2859,BIC,TwoStageWithin,109,,
202,,,6.2621,0.0183,0.829,23.9702,BIC,TwoStageBetween,110,0.9936,1.0
203,0.0,1.0,6.7878,0.035,0.8193,20.5771,BIC,TwoStageWithin,110,,
204,,,6.0753,0.0076,0.976,242.7442,BIC,TwoStageBetween,111,0.3886,1.0
205,1.3966,0.827,10.6223,-0.0098,0.9826,245.8386,BIC,TwoStageWithin,111,,
206,,,2.6056,-0.0151,0.506,513.3255,BIC,TwoStageBetween,112,0.6191,1.0
207,0.5743,0.8973,3.1744,0.0158,0.4829,499.0108,BIC,TwoStageWithin,112,,
208,,,13.603,0.0644,1.8838,110.2123,BIC,TwoStageBetween,113,0.1453,0.2648
209,2.2221,1.0,19.4409,0.0016,1.9117,125.2451,BIC,TwoStageWithin,113,,
210,,,8.1329,-0.0076,0.9848,214.3001,BIC,TwoStageBetween,114,0.6004,0.9816
211,0.627,0.788,10.6019,0.0155,0.9584,202.6363,BIC,TwoStageWithin,114,,
212,,,10.2491,-0.0086,0.9597,166.5138,BIC,TwoStageBetween,115,0.5238,0.986
213,0.8156,1.0,12.7167,0.0181,0.9194,151.7038,BIC,TwoStageWithin,115,,
214,,,30.0,0.0078,2.335,96.5142,BIC,TwoStageBetween,116,0.6114,1.0
215,0.544,1.0,30.0,0.0027,2.3239,91.5411,BIC,TwoStageWithin,116,,
216,,,8.1032,-0.0062,0.9662,139.3287,BIC,TwoStageBetween,117,0.7271,1.0
217,0.4223,0.9507,9.9787,-0.0156,0.9722,141.52,BIC,TwoStageWithin,117,,
218,,,13.4508,0.019,1.1256,114.3499,BIC,TwoStageBetween,120,0.6549,0.8215
219,0.482,1.0,13.6683,-0.0018,1.1182,111.358,BIC,TwoStageWithin,120,,
220,,,10.3555,-0.0125,1.0795,166.3009,BIC,TwoStageBetween,122,0.5336,1.0
221,0.7996,1.0,12.8022,-0.0096,1.0674,161.5964,BIC,TwoStageWithin,122,,
222,,,23.7536,-0.0123,1.9979,188.3192,BIC,TwoStageBetween,123,0.4542,0.7344
223,1.1664,0.854,30.0,0.0059,1.9957,187.1572,BIC,TwoStageWithin,123,,
224,,,21.8552,-0.0055,1.626,25.43,BIC,TwoStageBetween,124,0.4474,0.9494
225,1.1931,0.8113,30.0,0.0228,1.646,32.8711,BIC,TwoStageWithin,124,,
