,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta,w_between_altwise,w_between_attwise
59,,,7.5235,0.0284,0.8673,411.7941,BIC,TwoStageWithin,14-TwoStageMixtureNoScaling,1.0241,0.7116,,
60,0.4984,0.4516,7.0686,-0.0094,0.8908,396.9164,BIC,TwoStageBetween,14-TwoStageWithin,,,,
61,0.5962,0.0,8.729,-0.0182,0.8736,402.2251,BIC,TwoStageMixtureNoScaling,14-TwoStageWithin,1.0994,1.0,0.0909,0.3784
62,,,7.4264,-0.0332,0.8746,383.4207,BIC,TwoStageWithin,14-TwoStageWithin,1.0156,1.0,,
63,0.6159,0.5845,12.8641,0.0538,1.2245,208.0851,BIC,TwoStageBetween,15-TwoStageBetween,,,,
64,0.675,0.5179,23.202,0.0127,1.2304,231.3972,BIC,TwoStageMixtureNoScaling,15-TwoStageBetween,5.0,0.0,0.5826,0.505
65,,,10.7775,-0.0011,1.2633,232.305,BIC,TwoStageWithin,15-TwoStageBetween,0.5384,0.825,,
66,0.6522,1.0,10.1013,0.0398,1.1591,225.2078,BIC,TwoStageBetween,15-TwoStageMixtureNoScaling,,,,
67,0.6052,1.0,17.2275,0.033,1.1016,209.2845,BIC,TwoStageMixtureNoScaling,15-TwoStageMixtureNoScaling,0.3875,0.0,0.8945,0.0
68,,,12.3508,0.0646,1.1441,215.6749,BIC,TwoStageWithin,15-TwoStageMixtureNoScaling,0.4689,0.8082,,
69,0.5975,1.0,9.6387,-0.053,1.2054,275.5129,BIC,TwoStageBetween,15-TwoStageWithin,,,,
70,0.6357,1.0,13.2548,-0.0027,1.2049,294.8716,BIC,TwoStageMixtureNoScaling,15-TwoStageWithin,0.7503,0.3295,0.1876,0.5185
71,,,13.9671,0.0303,1.2008,272.1197,BIC,TwoStageWithin,15-TwoStageWithin,0.6265,0.4545,,
72,0.4779,1.0,1.5054,0.2188,1.1069,359.47,BIC,TwoStageBetween,16-TwoStageBetween,,,,
73,0.4993,1.0,2.5941,0.0666,1.1067,378.8596,BIC,TwoStageMixtureNoScaling,16-TwoStageBetween,5.0,0.0,0.0,1.0
74,,,1.758,0.0204,1.1156,366.3283,BIC,TwoStageWithin,16-TwoStageBetween,0.9605,1.0,,
75,0.555,0.4457,3.7135,0.0189,1.108,353.6128,BIC,TwoStageBetween,16-TwoStageMixtureNoScaling,,,,
76,1.0,1.0,7.6146,0.0207,1.1,367.0967,BIC,TwoStageMixtureNoScaling,16-TwoStageMixtureNoScaling,2.7716,0.4285,0.1475,0.1793
77,,,3.5099,0.0642,1.1056,351.7857,BIC,TwoStageWithin,16-TwoStageMixtureNoScaling,0.9697,1.0,,
78,0.6106,0.5005,4.7528,0.0044,1.1349,361.1521,BIC,TwoStageBetween,16-TwoStageWithin,,,,
79,0.5918,0.9994,4.3182,0.0233,1.1293,376.2049,BIC,TwoStageMixtureNoScaling,16-TwoStageWithin,0.3869,0.5143,1.0,0.0
80,,,3.438,0.0489,1.1344,360.7992,BIC,TwoStageWithin,16-TwoStageWithin,0.4898,1.0,,
81,0.4111,1.0,5.3263,-0.0357,0.7681,359.4354,BIC,TwoStageBetween,17-TwoStageBetween,,,,
82,0.3572,1.0,6.1774,-0.0203,0.765,376.5786,BIC,TwoStageMixtureNoScaling,17-TwoStageBetween,0.9512,0.9477,0.5691,0.5454
83,,,7.929,-0.002,0.7822,369.9055,BIC,TwoStageWithin,17-TwoStageBetween,1.3302,0.8806,,
84,0.4656,0.4393,9.0022,0.0046,0.7664,355.1302,BIC,TwoStageBetween,17-TwoStageMixtureNoScaling,,,,
85,0.0411,0.0,11.1948,-0.0062,0.7439,358.1039,BIC,TwoStageMixtureNoScaling,17-TwoStageMixtureNoScaling,0.433,0.5787,0.4311,0.4142
86,,,11.1535,-0.0191,0.7609,351.0059,BIC,TwoStageWithin,17-TwoStageMixtureNoScaling,1.0391,0.6045,,
87,0.4938,1.0,4.7626,0.0173,0.7613,426.1284,BIC,TwoStageBetween,17-TwoStageWithin,,,,
88,0.5168,1.0,7.7478,0.0094,0.746,433.167,BIC,TwoStageMixtureNoScaling,17-TwoStageWithin,1.0967,0.5562,0.0405,0.3684
89,,,8.2293,0.0083,0.7503,417.0753,BIC,TwoStageWithin,17-TwoStageWithin,1.0471,0.6255,,
90,0.6097,0.4997,9.1767,0.0047,0.9431,376.7613,BIC,TwoStageBetween,18-TwoStageBetween,,,,
91,0.6288,0.0,11.584,0.0013,0.9378,391.9384,BIC,TwoStageMixtureNoScaling,18-TwoStageBetween,0.6894,1.0,1.0,0.5044
92,,,9.1156,-0.0026,0.9493,382.2883,BIC,TwoStageWithin,18-TwoStageBetween,0.5805,0.4775,,
93,0.6105,1.0,5.7649,0.0408,0.9826,372.3087,BIC,TwoStageBetween,18-TwoStageMixtureNoScaling,,,,
94,0.0,1.0,7.3613,0.0244,0.9696,381.212,BIC,TwoStageMixtureNoScaling,18-TwoStageMixtureNoScaling,0.3014,0.765,0.1861,0.1185
95,,,7.9823,0.0129,0.9786,368.921,BIC,TwoStageWithin,18-TwoStageMixtureNoScaling,0.5876,0.7494,,
96,0.6342,1.0,4.8895,0.0148,0.9618,383.8879,BIC,TwoStageBetween,18-TwoStageWithin,,,,
97,0.7264,0.0,7.3371,0.0353,0.9342,381.2113,BIC,TwoStageMixtureNoScaling,18-TwoStageWithin,0.6798,1.0,1.0,0.0
98,,,6.8719,0.0657,0.9382,364.7274,BIC,TwoStageWithin,18-TwoStageWithin,0.541,0.5924,,
99,0.8334,1.0,6.2317,-0.0056,0.6921,188.612,BIC,TwoStageBetween,19-TwoStageBetween,,,,
100,0.858,1.0,6.3216,-0.0025,0.6917,208.1801,BIC,TwoStageMixtureNoScaling,19-TwoStageBetween,0.4923,1.0,0.8472,0.8927
101,,,6.64,0.0065,0.7278,207.2546,BIC,TwoStageWithin,19-TwoStageBetween,0.195,1.0,,
102,0.8266,0.4234,9.6914,0.0008,0.7598,192.9189,BIC,TwoStageBetween,19-TwoStageMixtureNoScaling,,,,
103,1.0,0.3416,9.9484,0.0043,0.7496,207.065,BIC,TwoStageMixtureNoScaling,19-TwoStageMixtureNoScaling,1.1138,1.0,0.6647,0.759
104,,,7.7208,0.0066,0.7988,215.0272,BIC,TwoStageWithin,19-TwoStageMixtureNoScaling,0.2395,1.0,,
105,0.777,0.6748,7.8913,0.0072,0.8475,255.2065,BIC,TwoStageBetween,19-TwoStageWithin,,,,
106,0.7343,1.0,9.3553,0.0212,0.8137,252.6182,BIC,TwoStageMixtureNoScaling,19-TwoStageWithin,0.1137,0.0,0.9327,0.0345
107,,,6.9586,0.0504,0.8331,245.5859,BIC,TwoStageWithin,19-TwoStageWithin,0.2365,0.9784,,
108,0.6182,0.8117,24.2772,0.0064,1.5926,61.1518,BIC,TwoStageBetween,2-TwoStageBetween,,,,
109,0.568,0.8125,24.7888,-0.0021,1.5895,79.4033,BIC,TwoStageMixtureNoScaling,2-TwoStageBetween,0.0,1.0,0.9207,0.8486
110,,,21.6383,-0.007,1.6098,69.3631,BIC,TwoStageWithin,2-TwoStageBetween,0.5327,1.0,,
111,0.5719,0.9822,23.4182,-0.0159,1.5616,50.4367,BIC,TwoStageBetween,2-TwoStageMixtureNoScaling,,,,
112,0.5577,0.908,30.0,-0.016,1.5305,55.6145,BIC,TwoStageMixtureNoScaling,2-TwoStageMixtureNoScaling,0.6453,0.6591,0.1538,1.0
113,,,30.0,-0.0135,1.5547,47.1684,BIC,TwoStageWithin,2-TwoStageMixtureNoScaling,0.7065,0.736,,
114,0.5937,1.0,23.8653,-0.0189,1.6742,4.6901,BIC,TwoStageBetween,2-TwoStageWithin,,,,
115,0.5901,0.592,28.4977,-0.003,1.6595,18.5549,BIC,TwoStageMixtureNoScaling,2-TwoStageWithin,0.6167,1.0,0.8749,0.0
116,,,25.4718,0.0169,1.6684,2.3616,BIC,TwoStageWithin,2-TwoStageWithin,0.6192,1.0,,
117,0.7863,0.6888,12.9761,0.0236,0.9791,96.2605,BIC,TwoStageBetween,3-TwoStageBetween,,,,
118,0.714,0.6513,14.8805,0.0067,0.9745,113.839,BIC,TwoStageMixtureNoScaling,3-TwoStageBetween,0.0,0.3726,0.7316,0.7337
119,,,12.8704,-0.0049,1.0076,109.9998,BIC,TwoStageWithin,3-TwoStageBetween,0.2275,0.7275,,
120,0.873,1.0,8.6445,0.0323,0.9646,120.7229,BIC,TwoStageBetween,3-TwoStageMixtureNoScaling,,,,
121,1.0,1.0,13.3451,0.0197,0.9414,128.2267,BIC,TwoStageMixtureNoScaling,3-TwoStageMixtureNoScaling,1.2291,0.0713,0.54,0.4903
122,,,11.7709,0.0279,0.9933,136.1456,BIC,TwoStageWithin,3-TwoStageMixtureNoScaling,0.2172,0.7897,,
123,0.8575,1.0,7.741,0.0373,1.0188,134.2945,BIC,TwoStageBetween,3-TwoStageWithin,,,,
124,0.9215,1.0,9.8023,0.0168,1.0118,150.6005,BIC,TwoStageMixtureNoScaling,3-TwoStageWithin,0.2743,0.2711,0.5093,0.4755
125,,,10.2251,0.0073,1.0321,140.9534,BIC,TwoStageWithin,3-TwoStageWithin,0.1707,0.71,,
