,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
88,,,13.5172,,1.0938,58.8361,BIC,TwoStageBetween,120-alternatives,0.6281,
89,0.5608,1.0,15.9051,-0.0018,1.064,61.233,BIC,TwoStageWithin,120-alternatives,,
90,,,12.2715,0.0232,1.1469,62.2835,BIC,TwoStageBetween,120-attributes,0.6938,0.7813
91,0.3841,,11.6802,,1.1527,54.9119,BIC,TwoStageWithin,120-attributes,,
92,,,11.0073,,1.0508,79.9646,BIC,TwoStageBetween,122-alternatives,0.5114,
93,0.8328,1.0,13.4234,-0.0094,1.051,88.5008,BIC,TwoStageWithin,122-alternatives,,
94,,,9.7415,-0.0096,1.0981,93.6834,BIC,TwoStageBetween,122-attributes,0.5602,1.0
95,0.7583,,12.1474,,1.081,81.8198,BIC,TwoStageWithin,122-attributes,,
96,,,16.4622,,2.035,105.4173,BIC,TwoStageBetween,123-alternatives,0.4486,
97,1.1058,0.7025,28.8257,0.0074,2.0295,112.1223,BIC,TwoStageWithin,123-alternatives,,
98,,,27.5769,-0.0205,1.9186,87.6815,BIC,TwoStageBetween,123-attributes,0.4598,0.9355
99,1.2057,,29.9697,,1.9456,82.3282,BIC,TwoStageWithin,123-attributes,,
100,,,22.9323,,1.4441,-6.8602,BIC,TwoStageBetween,124-alternatives,0.4536,
101,1.1658,0.8613,30.0,0.0224,1.4705,5.8263,BIC,TwoStageWithin,124-alternatives,,
102,,,20.5126,-0.0039,1.757,35.693,BIC,TwoStageBetween,124-attributes,0.4405,0.9361
103,1.2197,,26.1803,,1.7751,30.9534,BIC,TwoStageWithin,124-attributes,,
104,,,10.0299,,0.9946,61.3816,BIC,TwoStageBetween,125-alternatives,0.6839,
105,0.4568,0.788,12.6333,0.0026,0.9866,68.4186,BIC,TwoStageWithin,125-alternatives,,
106,,,9.4552,0.0103,0.9888,76.5708,BIC,TwoStageBetween,125-attributes,0.6755,1.0
107,0.4813,,10.5885,,0.9912,68.5545,BIC,TwoStageWithin,125-attributes,,
108,,,13.2202,,1.1272,43.5977,BIC,TwoStageBetween,126-alternatives,0.6386,
109,0.5748,0.8495,16.7006,0.0118,1.121,50.9696,BIC,TwoStageWithin,126-alternatives,,
110,,,10.375,0.0068,1.1201,85.3547,BIC,TwoStageBetween,126-attributes,0.6191,1.0
111,0.5847,,10.9891,,1.1377,80.9078,BIC,TwoStageWithin,126-attributes,,
112,,,9.1203,,0.9545,106.4919,BIC,TwoStageBetween,127-alternatives,0.5646,
113,0.7137,0.7159,12.5965,0.0087,0.9258,108.699,BIC,TwoStageWithin,127-alternatives,,
114,,,8.8614,0.0024,1.0363,116.9463,BIC,TwoStageBetween,127-attributes,0.4841,0.7503
